model_name,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positive_rate,true_negative_rate,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,n_samples,n_anomalies,n_normal,notes
Isolation Forest,0.8153859885750555,0.3438275739784861,0.1024803870907126,0.1578980701548038,0.7499230739839188,0.3399472110383548,0.1024803870907126,0.9602565081668304,0.0397434918331694,0.8975196129092874,402359,16653,76422,8726,504160,85148,419012,
Local Outlier Factor,0.7905407013646462,0.1009793593195208,0.0303941372668764,0.0467245005732236,0.4587176362282952,0.150705752842377,0.0303941372668764,0.9450111213998644,0.0549888786001355,0.9696058627331235,395971,23041,82560,2588,504160,85148,419012,
One-Class SVM,0.807077118375119,0.2607991787096265,0.0775708178700615,0.1195756467585133,0.7221457103623097,0.3048673971723792,0.0775708178700615,0.9553210886561722,0.0446789113438278,0.9224291821299384,400291,18721,78543,6605,504160,85148,419012,
AutoEncoder,0.8862008092668994,0.6988217440478747,0.573260675529666,0.629844448602231,0.8984458468690251,0.7311350233965461,0.573260675529666,0.9497938006548738,0.0502061993451261,0.426739324470334,397975,21037,36336,48812,504160,85148,419012,
Static Ensemble (Equal Weights),0.8235500634719137,0.39258131799988727,0.0817870061539907,0.1353718156812814,0.6826262317987666,0.290235173210871,0.0817870061539907,0.9742847460215937,0.025715253978406346,0.9182129938460093,408237,10775,78184,6964,504160,85148,419012,
PPO Adaptive Ensemble,0.765491113932085,0.37579966962006306,0.5877883215107812,0.4584753215345718,0.7719004065612385,0.42522273589066323,0.5877883215107812,0.8016023407444178,0.19839765925558217,0.41221167848921875,335881,83131,35099,50049,504160,85148,419012,
